title,tier,about,username,link,subscribers,density,is_stock
김찰저의 관심과 생각 저장소,정보,김찰저의 관심과 생각을 저장하는 채널입니다. 해당 채널의 게시물은 단순 의견 및 기록용도…,kimcharger,https://t.me/kimcharger,24007,0.4,1
카이에 de market,정보,"- 전직 헤지펀드 매니저 - 세상을 변화시키는 핵심 사건, 핵심 기업을 공부하고 주관적…",cahier_de_market,https://t.me/cahier_de_market,18667,0.4,1
BUYagra,정보,시장을 움직일 '패러다임 변화'를 빠르고 심도있게 분석하여 한 발 앞선 투자를 지향합니다…,psychotherapy101,https://t.me/psychotherapy101,5900,0.3947,1
GIVME INVEST🤑,정보,• MY view 공유 및 저평가기업 발굴 • 크립토(BTC & ETH 등) 규제 완화…,givme23,https://t.me/givme23,3126,0.3836,1
받/돌았슈,찌라시,,speedjjirasi,https://t.me/speedjjirasi,10489,0.3788,1
습관이 부자를 만든다. 🧘,정보,"행동은 습관이 되고, 습관은 가치가 된다. -정직, 겸손, 상식, 철학, 습관, 태도.…",habit4117,https://t.me/habit4117,24981,0.375,1
세상의 (부)족한 것들에 대해서,정보,"수출중단 추가 포함하는 키워드: 쇼티지, 품절, 재고부족, 수요급증, 셧다운, 감산, 공…",runoutof,https://t.me/runoutof,1079,0.375,1
너쟁이의 성실한 추추생활,정보,매일의 공부를 공유합니다,nje2e,https://t.me/nje2e,8239,0.3714,1
"投資, 아레테",정보,"본 채널에서 소개하는 모든 종목은 보유 중일 수 있으며, 언제든지 매도할 수 있다는 점을…",mstaryun,https://t.me/mstaryun,17673,0.3667,1
레드버드 기업분석,정보,네이버 블로그 레드버드 기업분석 텔레그램입니다. Disclaimer ​ 본 채널의 게시물…,redbirdstock,https://t.me/redbirdstock,9594,0.3571,1
Stock Trip,정보,"소비재 위주 아이디어와 데이터, 관심사들을 공유합니다. 블로그도 운영하고 있습니다 htt…",stocktrip,https://t.me/stocktrip,7222,0.3571,1
한국투자증권/기관영업부/이민근,증권사,,mk81_koreainvestment,https://t.me/mk81_koreainvestment,14724,0.35,1
돼지바,정보,구 뽕따 뚜따 해당 채널의 게시물은 단순 의견 및 기록용도이고 매수-매도 등 투자권유를…,bbong_tta,https://t.me/bbong_tta,12197,0.3467,1
프리라이프,정보,SNOWBALL EFFECT ⛄️ · 본 채널은 산업 및 기업 스터디 기록용입니다. ·…,free_life59,https://t.me/free_life59,10258,0.3433,1
노랑오리 재테크 텔레그램,정보,"노랑오리의 재테크 텔레그램입니다. 주식, 상테크, 가상화폐 등 재테크 관련 모든 정보를…",yellowducktele,https://t.me/yellowducktele,4479,0.325,1
Pluto Research,리서치,Disclamer 종목의 매수매도 추천을 하지 않으며 공개된 통계자료 및 데이터를 가공…,hedgehara,https://t.me/hedgehara,16906,0.3247,1
묻따방 🐕,정보,(방장한테) 묻지도 따지지도 않는 방 은덕베풀기 : https://litt.ly/moot…,mootda,https://t.me/mootda,18875,0.3067,1
인상주의 투자 인생 업그레이드노트,정보,,insangnism,https://t.me/insangnism,10846,0.2895,1
인포마켓 infomarket,정보,본 채널에서 언급하는 종목들은 매수/매도를 의미하는 것이 아닙니다. 본 채널에서 언급된…,infomarketopen,https://t.me/infomarketopen,8430,0.2879,1
TRENDSETTER GLOBAL,정보,,TRENDSETTERVERSION2,https://t.me/TRENDSETTERVERSION2,3984,0.2794,1
투자의 빅 픽처를 위한 퍼즐 한 조각,정보,투자에 도움이 될 퍼즐 조각들을 정리하고 모으는 곳,investment_puzzle,https://t.me/investment_puzzle,14033,0.2759,1
MagazinE.,정보,새로운 운영자 입니다.,koreancapitalist,https://t.me/koreancapitalist,4697,0.2754,1
1년에 1랩업,정보,일년 수익률 100퍼를 위하여~,fordouble,https://t.me/fordouble,2697,0.2754,1
회색인간의 매크로 + 투자,정보,회색인간의 매크로 투자 카페 공개 채널입니다 채널에서 전달하는 어떠한 정보도 정확함을 보…,mistergray_11,https://t.me/mistergray_11,18500,0.2676,1
지식 책꽂이 (이대호 기자),정보,이대호 와이스트릿 편집장이 개인적으로 운영하는 지식 자료 저장 공간♥️ 호흡이 긴 자료…,knowledge_to_wealth,https://t.me/knowledge_to_wealth,12778,0.25,1
올바른,정보,네프콘 : https://naver.me/xg7czSNA 유튜브 : https://you…,allbareun,https://t.me/allbareun,12134,0.2459,1
서화백의 그림놀이 🚀,정보,#Disclaimer 해당 채널의 게시물은 단순 의견 및 기록용도이고 매수-매도 등 투자…,easobi,https://t.me/easobi,24030,0.2388,1
리포트 갤러리,리서치,[항상 좋은 자료 만들어주시는 애널리스트 분들 감사합니다.] 시간이 부족한 투자자를 위한…,report_figure_by_offset,https://t.me/report_figure_by_offset,19043,0.2308,1
MZ실버만 빡겜모드 ON,정보,- 탑다운 네러티브가 6개월안에 EPS로 이어질수있는가? - Data Driven Inv…,silverman_sachs,https://t.me/silverman_sachs,7696,0.2286,1
재야의 고수들,정보,재야의고수들 필진이 작성한 글은 ▪️︎개인의 주관적 관점에서 작성되었습니다.▪️︎오류의…,gaoshoukorea,https://t.me/gaoshoukorea,39292,0.2167,1
반붐온? 방붐온?,정보,,banboomon,https://t.me/banboomon,5237,0.2162,1
서초동 투자머신,정보,현 대한민국은 주식만이 살길이다,twomachine,https://t.me/twomachine,5256,0.2152,1
드리머의 잃지 않는 투자,정보,,orangeboard,https://t.me/orangeboard,4897,0.1972,1
KK Kontemporaries,정보,,kkkontemp,https://t.me/kkkontemp,14681,0.1897,1
64비트사령부⚡️ 🇰🇷🇺🇸,정보,"₿itcoin⚡️, 미국주식, 코인(Crypto), 뉴스 실시간 미 증시 및 크립토 속보…",BTCpentagon,https://t.me/BTCpentagon,4616,0.1842,1
IH Research,리서치,채널에 올라오는 내용은 개인적으로 의미있게 보이는 내용을 공유하고자함입니다. 동 채널은…,ihresearch,https://t.me/ihresearch,7530,0.1772,1
한화 철강 권지우,증권사,,cheolkangtracking,https://t.me/cheolkangtracking,584,0.1644,1
주식돋보기,정보,지극히 사적인 견해와 시장정보를 참여자들과 공유하는데 선의의 목적이 있습니다. 시세를 인…,SeeBullReal,https://t.me/SeeBullReal,9342,0.1392,1
기술적 분석으로 보는 주식시장 (by 소라게아빠),정보,https://litt.ly/hermitcrab41 채널에 언급한 종목을 보유하고 있을…,hermitcrab41_1,https://t.me/hermitcrab41_1,19201,0.137,1
상상인 철강/건설 김진범,증권사,철강 및 비철금속 산업자료 및 뉴스 공유,PipeBeom,https://t.me/PipeBeom,1995,0.127,1
급등일보 미국주식🇺🇸 속보·매크로·리서치,리서치,🇺🇸급등일보에서 직접 운영하는 미국주식 속보·리서치 텔레그램 채널입니다🤠 - 미국증시 속…,FastStockNewsUSA,https://t.me/FastStockNewsUSA,39439,0.1233,1
한투증권 중국/신흥국 정정영,증권사,,EMchina,https://t.me/EMchina,14706,0.1154,1
하나 중국/신흥국 전략 김경환,증권사,중국/신흥국 전략 애널리스트 김경환입니다. 중국 및 신흥국 경제•증시 관련 정보 공유 채…,HANAchina,https://t.me/HANAchina,33608,0.1067,1
이그전 (이은택의 그림 전략),증권사,'이은택의 그림으로 보는 전략' 텔레그램 채널입니다,egzion,https://t.me/egzion,15880,0.1026,1
Rafiki research,리서치,Global macro research,rafikiresearch,https://t.me/rafikiresearch,19820,0.0959,1
💯똥밭에 굴러도 주식판,정보,모든 투자의 책임은 본인. 본 채널의 자료는 매수매도를 권하지 않으며 단순 자료임을 재차…,daegurr,https://t.me/daegurr,21996,0.0921,1
글로벌 Watch 🌎,정보,"글로벌 증시를 한눈에 파악 - 미국,유럽,홍콩,일본 등 신고가 종목 정리 - (미국주식)…",awake_globalwatch,https://t.me/awake_globalwatch,3173,0.075,1
기화가거 투자 인사이트,정보,"국내주식, 해외주식, 해외선물, 가상화폐(BTC), 거시경제, 주요 산업, 뉴스, 증시…",vrally55,https://t.me/vrally55,935,0.0625,1
양파농장,정보,언젠간 올 대풍년을 기다리며 씨뿌리는 중입니다 투자자 유의 사항 1. 채널에 게재된 내용…,Onionfarmer,https://t.me/Onionfarmer,15374,0.0526,1
[한투증권 이동연] 글로벌 기업(IT S/W),증권사,글로벌 IT,chinaitev,https://t.me/chinaitev,4557,0.0476,0
가치투자클럽,정보,"공표된 증권사 자료와 전자공시, 뉴스를 올려드리는 채널입니다. 기업분석 역시 확정 공시된…",corevalue,https://t.me/corevalue,66833,,
그로쓰리서치(Growth Research) [독립리서치],리서치,"🔥미국주식, 암호화폐,국내주식 기업탐방 전문 독립리서치 📌 독립리서치 유튜브, 텔레그램…",growthresearch,https://t.me/growthresearch,38836,,
Market News Feed,정보,"Market news, as fast as humanly possible, but not…",marketfeed,https://t.me/marketfeed,36039,,
제약/바이오/미용 원리버 Oneriver,정보,인생에 도움이 되는 바이오 영상 모음집 https://youtube.com/@Iamone…,pharmbiohana,https://t.me/pharmbiohana,29107,,
이지스 리서치 (주식 투자 정보 텔레그램),리서치,🇰🇷대한민국 대표 주식투자정보 플랫폼🥇,jeilstock,https://t.me/jeilstock,26216,,
엄브렐라리서치 Jay의 주식투자교실,리서치,,Jstockclass,https://t.me/Jstockclass,24170,,
Buff,정보,,bufkr,https://t.me/bufkr,23989,,
TNBfolio,정보,본 TNB 채널에서 제공하는 자료는 매수&매도에 대한 의견 절대 아니며 투자자 본인의 참…,TNBfolio,https://t.me/TNBfolio,23708,,
도PB의 생존투자,정보,치열한 주식시장에서 함께 생존하기 위한 공간입니다. #Disclaimer • 업로드 되는…,survival_DoPB,https://t.me/survival_DoPB,22088,,
선수촌,정보,"*필독: 기관투자자, 금융업계전문가 및 이에 준하는 지식과 경험을 가진 분들(이하 ""선수…",athletes_village,https://t.me/athletes_village,20810,,
YIELD & SPREAD,정보,채권 애널리스트 김성수 & 크레딧 애널리스트 한시화,yieldnspread,https://t.me/yieldnspread,20483,,
[하나 Global ETF] 박승진,증권사,[하나증권 리서치센터 해외주식분석실 실장] 글로벌 ETF 애널리스트 박승진입니다. 국내외…,globaletfi,https://t.me/globaletfi,18801,,
재간둥이 송선생,정보,OSINT,songjongsik,https://t.me/songjongsik,18181,,
🌸Crypto Judy🐰🌸,정보,텔레그램에서 제일 사랑스러운 쥬디의 암호화폐 정보방 1.정직 2.솔직 3.착함 4.의리…,lovejudylee,https://t.me/lovejudylee,16891,,
잠실개미&10X’s N.E.R.D.S,정보,"'잠실개미‘ 와 ’10X’의 채널 N 내러티브(Narrative), E 실적(Earnin…",jake8lee,https://t.me/jake8lee,16028,,
[DAOL퀀트 김경훈] 탑다운 전략,증권사,"Quant 김경훈 CAIA, FRM, CFA aimhigh2027@daolfn.com",toptownquant,https://t.me/toptownquant,15375,,
미래에셋 제약/바이오 김승민,증권사,한국/미국/중국 바이오 업종에 대한 발간 자료와 의견 공유.,bioksm,https://t.me/bioksm,14596,,
미국주식과 투자이야기,정보,트위터 -> https://twitter.com/itechkoreallc 스레드 -> h…,itechkorea,https://t.me/itechkorea,13258,,
한화투자증권 경제 임혜윤,증권사,글로벌 매크로 분석,lim_econ,https://t.me/lim_econ,13017,,
한국경제,정보,,hankyung_fin,https://t.me/hankyung_fin,12417,,
[채권/금리 김상훈] 후니본(Bond),정보,,hanabondview,https://t.me/hanabondview,12265,,
[충간지의 글로벌 의료기기/디지털 헬스 연구소],정보,"유사 손흥민, 의료기기 산신령, CFA Charterholder, 2권을 집필한 작가,…",globalmedtech,https://t.me/globalmedtech,12076,,
Harvey's Macro Story,정보,📊 글로벌 경제·산업 구조와 금융시장을 분석합니다. Macro | Geopolitics…,harveyspecterMike,https://t.me/harveyspecterMike,11510,,
미국 제약-바이오 주식/약장수,정보,▼ 후원1 https://www.buymeacoffee.com/yakjangsu ▼ 후원…,yakjangsu,https://t.me/yakjangsu,11420,,
[유안타/이안나] 2차전지/신에너지,증권사,2차전지/전기전자/수소,anna7673,https://t.me/anna7673,10611,,
실전매매전략 : 마켓타이밍,정보,시장에서 최적의 매매 타이밍을 포착하기 위한 전략,stockgrandmaster,https://t.me/stockgrandmaster,10403,,
소형주 투자자 | Small Cap Research,리서치,초소형 성장주 선호하는 스몰캡 전문 투자자,small_stock,https://t.me/small_stock,10186,,
투자자문 와이즈리서치 경제공부방,리서치,와이즈리서치 경제공부방,econostudy,https://t.me/econostudy,8724,,
[삼성 Mobility 임은영],정보,안녕하세요? 삼성증권 자동차 섹터 뉴스와 코멘트입니다,s_esthermobility,https://t.me/s_esthermobility,8011,,
교보증권 리서치센터,증권사,,KyoboRSC,https://t.me/KyoboRSC,7667,,
글로벌바이오아저씨,정보,신약/바이오 (자유대화방 개설) https://open.kakao.com/o/geMclW…,choaz1,https://t.me/choaz1,7248,,
CTT Research,리서치,CTT Research (Catch The Timing) E-mail: ctt@cttre…,CTTResearch,https://t.me/CTTResearch,7015,,
유진투자증권 산업분석실 테크/인프라팀,증권사,유진투자증권 테크/인프라팀 리서치 자료와 뉴스를 제공합니다. *담당 애널리스트 황성현 실…,eugene2team,https://t.me/eugene2team,6521,,
[신한 리서치본부] 인터넷/게임,증권사,안녕하세요. 신한투자증권 인터넷/게임 담당 강석오입니다. 리서치본부 내 공표된 조사분석자…,seokokang,https://t.me/seokokang,6314,,
2차전지 김희제,정보,배터리/원자재/에너지 섹터 커버 채널입니다. 매수•매도 추천 채널이 아니며 운영자의 기록…,EvAtZchuno,https://t.me/EvAtZchuno,6153,,
[하나증권 해외채권] 허성우,증권사,선진국 및 신흥국 채권/경제 뉴스 소통 목적,deandatbond,https://t.me/deandatbond,6072,,
지휘통제실,정보,,Fire_Direction_Center,https://t.me/Fire_Direction_Center,5952,,
[한투 선진국] 최보원,증권사,*주의* 새벽에도 알림이 울릴 수 있습니다.,globalbobo,https://t.me/globalbobo,5708,,
CTRINE,정보,블로그/트위터 https://blog.naver.com/teamctrine https:/…,teamctrine,https://t.me/teamctrine,5619,,
아트합시다.,정보,"서사가 있는 투자를 좋아합니다. Consilience 남은 인생에 꿈이 있다면, 무해한…",Korea_value,https://t.me/Korea_value,5477,,
AI 리서치 딥다이브_Seoul to Wall St.,리서치,AI가 매일 분석하는 국내 주식정보 채널. 수급·이슈·테마 흐름을 데이터 기반으로 분석합…,aicorporateanalysisdeepdive,https://t.me/aicorporateanalysisdeepdive,4395,,
Macrotrader - 금융치료,정보,,slsyphus,https://t.me/slsyphus,4239,,
대신증권 원자재 최진영,증권사,중국 상하이에서 원자재 딜러가 되고 싶던 학생은 해군에서 유류과장직을 거쳐 오늘날 멋진…,akacommodity,https://t.me/akacommodity,4181,0.0,0
한화 유통/의류/지주 이진협,증권사,,jinhyeoblee,https://t.me/jinhyeoblee,4132,,
주식스타그램,정보,"본 채널에서 소개하는 모든 종목은 보유 중일 수 있으며, 언제든지 매도할 수 있음 본 채…",jusikstagram,https://t.me/jusikstagram,3801,,
유안타 손현정 [유틸리티(전력기기)/음식료],증권사,,HJS_YSK,https://t.me/HJS_YSK,3788,,
키움증권 임수진 엔터/레저/미디어,증권사,,limontage,https://t.me/limontage,3535,,
안지영- 소비재 이슈 점검,정보,https://t.me/+QLzGUdrUDTsZo6jA,QLzGUdrUDTsZo6jA,https://t.me/QLzGUdrUDTsZo6jA,2905,,
[대신증권 유통/의류 유정현],증권사,,retail_analyst,https://t.me/retail_analyst,2582,,
Bad Onion 나쁜양파,정보,Contact: badnyangpa@gmail.com Bad Onion’s Global…,Badonions,https://t.me/Badonions,2286,,
유진투자증권 법인영업팀 aka 달리기 좋은날!,증권사,주식 그리고 자동차,gooday2drive,https://t.me/gooday2drive,1918,,
[미모부자] 미라클모닝 & 경제신문 스크랩 (용신),정보,,yongshin_success,https://t.me/yongshin_success,1518,,
감단투자,정보,본 채널에서 제공하는 모든 정보는 투자 권유 목적이 아닙니다. 해당 게시물의 내용은 부정…,sim_the_best,https://t.me/sim_the_best,1338,,
